ram,weight,price,touch,intel_cpu,cpu_range_high,cpu_range_mid,storage,ssd,hdd,hybrid,flash,hdd_ssd,chrome,linux,macx,win10,win10_s,win7,mac_os,pixels,gpu_rank,acer,apple,asus,chuwi,dell,fujitsu,google,hp,huawei,lg,lenovo,msi,mediacom,microsoft,razer,toshiba,vero,xiaomi,2_in_1,gaming,notebook,ultrabook,workstation
8,1.38,59620.32,0,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1.54,99633.6,0,1,1,0,512,1,0,0,0,0,0,0,0,0,0,1,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2.3,31168.8,0,1,0,1,500,0,1,0,0,0,0,0,0,1,0,0,0,2073600,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.16,90043.2,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.2,19660.32,0,1,0,0,500,0,1,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.4,19276.7,0,1,0,1,500,0,1,0,0,0,0,1,0,0,0,0,0,1049088,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1.35,18914.4,0,1,0,0,32,0,0,0,1,0,1,0,0,0,0,0,0,1049088,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.3,91294.75,1,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,1.38,57489.12,1,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,2.3,42943.15,0,1,1,0,1024,0,1,0,0,0,0,1,0,0,0,0,0,1049088,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1.71,34578.72,1,1,0,1,1024,0,1,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,1.3,95850.72,1,1,1,0,1024,1,0,0,0,0,0,0,0,1,0,0,0,5760000,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
